High,Close,Low,Open,Log Return
5078.248,5044.808,5033.716,5050.458,-0.0007557391652844062
5051.054,5014.574,5018.765,5049.117,-0.0060111229573643205
5025.204,5018.659,5007.071,5024.845,0.0008142939022189944
5036.311,5012.102,5008.013,5027.954,-0.0013073785596040275
5011.57,5001.616,4985.496,5012.622,-0.0020943277677312284
5004.841,4973.813,4967.597,5003.757,-0.0055743110383289565
4972.213,4975.121,4946.371,4973.158,0.0002629427449284196
4991.341,4985.001,4973.133,4969.669,0.00198391209275622
5009.602,4986.696,4987.755,4994.521,0.00033996219827469627
5021.394,5024.906,4982.817,4984.671,0.00763318108864786
5023.058,5024.095,5003.354,5017.091,-0.00016140907972058937
5022.657,5015.55,5007.901,5016.352,-0.001702251835274263
5033.205,5014.931,5004.042,5027.045,-0.00012342379209654523
5031.525,5007.117,5005.262,5011.381,-0.0015593622348212698
5042.305,5029.577,5014.998,5016.132,0.004475584787396911
5080.591,5076.763,5033.025,5043.679,0.009337968616774332
5078.709,5068.425,5066.03,5073.88,-0.0016437353112325167
5092.299,5090.821,5063.5,5074.064,0.004408995762105928
5119.689,5115.905,5086.73,5087.131,0.004915200133861548
5117.498,5118.059,5090.213,5113.959,0.00042095126224957945
5149.777,5149.195,5118.178,5113.42,0.006065126166492867
5155.196,5144.792,5135.326,5149.449,-0.0008554509090612669
5172.8,5172.856,5148.209,5149.299,0.005440012919583877
5239.701,5239.771,5176.091,5175.428,0.012852841299133319
5248.538,5227.93,5226.112,5244.266,-0.0022623888570343386
5243.019,5243.031,5214.144,5228.792,0.00288435998748088
5266.116,5264.935,5235.088,5251.095,0.004169033612369999
5290.137,5260.481,5258.185,5266.98,-0.0008463323950064336
5265.964,5240.522,5229.333,5264.425,-0.0038013557437255713
5255.404,5254.723,5225.123,5246.833,0.002706179544477911
5257.233,5250.658,5238.488,5253.129,-0.0007738891531641197
5255.016,5256.121,5226.606,5248.578,0.0010399001430035876
5269.165,5236.6,5230.534,5254.268,-0.003720869452668356
5236.984,5223.787,5208.496,5237.232,-0.0024498149845126964
5236.257,5226.334,5218.397,5224.734,0.0004874584802286981
5259.218,5256.167,5226.806,5221.953,0.00569197761976838
5252.506,5216.242,5214.468,5245.296,-0.007624834635493495
5227.937,5220.288,5203.471,5227.418,0.0007753535327727879
5225.512,5218.248,5199.971,5223.443,-0.00039085941284697803
5227.811,5210.428,5204.515,5215.184,-0.0014997112702868573
5215.5,5212.278,5198.745,5209.533,0.00035499418662085584
5225.905,5212.437,5208.141,5212.435,3.0504431058725218e-05
5225.451,5224.737,5216.919,5218.639,0.0023569609348558325
5239.861,5222.712,5220.135,5227.005,-0.0003876544456659022
5226.056,5214.483,5211.258,5224.829,-0.0015768607763121413
5224.552,5210.115,5210.018,5218.991,-0.0008380179754898985
5220.09,5211.83,5194.963,5213.292,0.00032911323471401945
5212.202,5203.307,5192.768,5207.187,-0.0016366567050453177
5211.632,5211.334,5203.366,5201.66,0.0015414840683345215
5219.961,5218.189,5198.766,5213.937,0.0013145377764880476
5221.833,5208.446,5198.948,5223.004,-0.0018688681124362074
5208.68,5207.067,5192.932,5208.459,-0.000264797328380748
5209.838,5203.441,5192.501,5209.519,-0.000696603882659487
5207.468,5205.733,5196.146,5207.616,0.00044038077123923554
5205.497,5196.315,5183.043,5202.13,-0.0018107977531846872
5208.288,5179.444,5174.729,5206.301,-0.0032520059242563907
5178.054,5151.904,5144.414,5177.562,-0.005331359515071823
5158.934,5146.936,5140.642,5150.592,-0.0009647689225860451
5146.504,5138.975,5131.201,5146.554,-0.0015479429269085162
5138.477,5124.2,5119.926,5139.034,-0.0028792279595747966
5109.955,5078.271,5057.474,5112.19,-0.009003565953003112
5080.52,5045.169,5044.435,5080.527,-0.006539697568111678
5051.322,4963.908,4957.076,5048.97,-0.01623781802804819
4970.926,4967.656,4899.724,4955.403,0.0007547653477189897
5016.413,5012.149,4983.221,4981.007,0.008916666165611388
5040.922,5004.812,4985.192,5013.368,-0.0014649156190359035
5015.219,5000.466,4990.195,5006.362,-0.00086874153288513
5001.891,4970.667,4965.398,5001.998,-0.005977071756040981
4982.6,4975.656,4959.57,4965.359,0.0010031848791563155
4981.799,4962.989,4948.496,4977.506,-0.0025490410128883307
4939.854,4926.54,4922.196,4933.766,-0.007371264099535574
4933.725,4892.953,4885.254,4927.906,-0.006840909400050617
4893.119,4868.03,4841.394,4892.861,-0.005106668900447743
4862.851,4849.791,4825.663,4863.894,-0.0037537265640773055
